id,date,due_date,supplier_type,supplier_id,supplier_taxid,project_id,stock_subttl,stock_tax,stock_grandttl,expense_subttl,expense_tax,expense_grandttl,asset_subttl,asset_tax,asset_grandttl,grandtax,grandttl,status,paidttl,note,ins,user_id,doc_ref_type,doc_ref,po_id,created_at,updated_at,suppliername,tid,tax,amountpaid,is_tax_exc
100,2022-05-16,2022-06-16,supplier,8,NULL,357,0,0,0,20000,0,20000,0,0,0,0,20000,Paid,20000,"18,000Btu outdoor unit@,20,000",1,1,DNote,1087,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,20000,1
101,2022-05-17,2022-06-17,supplier,8,NULL,410,0,0,0,52000,0,52000,0,0,0,0,52000,Paid,52000,"4 Cylinders of r410@52,000",1,1,DNote,1094,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,52000,1
102,2022-05-20,2022-06-20,supplier,8,NULL,404,0,0,0,2400,0,2400,0,0,0,0,2400,Paid,2400,"Capacitor 50uf@1,200",1,1,DNote,1100,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,2400,1
103,2022-05-20,2022-06-20,supplier,8,NULL,405,0,0,0,35000,0,35000,0,0,0,0,35000,Paid,35000,"Compressor 24,000btu r410a@22,000.R410 gas@13,000",1,1,DNote,1104,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,35000,1
104,2022-05-25,2022-06-25,supplier,8,NULL,420,0,0,0,83900,0,83900,0,0,0,0,83900,Paid,83900,"R410 3 pcs@39,000,Comp 24,000 btu R410 2pcs@44,000,Capacitor 5uf500,DP Switch 1 pc@400",1,1,DNote,1122,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,83900,1
105,2022-05-28,2022-06-28,supplier,8,NULL,420,0,0,0,1050,0,1050,0,0,0,0,1050,Paid,1050,"Dp Switch 2 pcs@800,Connector(1 pc@200,Insullation tape@50",1,1,DNote,1137,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,1050,1
106,2022-05-28,2022-06-28,supplier,8,NULL,437,0,0,0,22000,0,22000,0,0,0,0,22000,Paid,22000,"Compressor 24,000btu r410a 2pcs",1,1,DNote,1138,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,22000,1
107,2022-05-28,2022-06-28,supplier,8,NULL,443,0,0,0,22000,0,22000,0,0,0,0,22000,Paid,22000,"Compressor 24,000btu r410a 2pcs",1,1,DNote,1138,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,22000,1
108,2022-06-04,2022-07-05,supplier,8,NULL,NULL,0,0,0,350000,0,350000,0,0,0,0,350000,pmt,350000,Payment via kcb bank ref:FT22155DZK1V,1,1,KCB Bank,FT22155DZK1V,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,350000,1
109,2022-06-06,2022-07-07,supplier,8,NULL,476,0,0,0,27000,0,27000,0,0,0,0,27000,Paid,27000,"Compressor 24,00btu r410 1pc@22,000,universal pcb card 1pc@2,500,capacitor 45uf 1pc@1,000,1 pkt of copper rods@1,500",1,1,DNote,1167,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,27000,1
110,2022-06-08,2022-07-09,supplier,8,NULL,354,0,0,0,1000,0,1000,0,0,0,0,1000,Paid,1000,"capacitor 45uf 1pc@1,000",1,1,DNote,Molo,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,1000,1
111,2022-06-09,2022-07-10,supplier,8,NULL,419,0,0,0,29000,0,29000,0,0,0,0,29000,Paid,29000,"Condensing unit 18,000btu lg@20,000 and R22 gas@9000",1,1,DNote,Nakuru,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,29000,1
112,2022-06-10,2022-07-11,supplier,8,NULL,475,0,0,0,150,0,150,0,0,0,0,150,Paid,150,"capillary tube 1/2mtr@,",1,1,DNote,1182,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,150,1
113,2022-06-10,2022-07-11,supplier,8,NULL,290,0,0,0,9000,0,9000,0,0,0,0,9000,Paid,9000,"2 fan motors@5,000,R410 gas@13,000,R22 gas@9,000",1,1,DNote,NULL,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,9000,1
